Ground Truth,Strategy 0,Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Strategy 8,Strategy 9
-1552.705157,-79.72352,-25.703394,-34.053555,-108.749535,-25.680302,-75.36131,-38.23859,-43.849804,-100.69986,-140.3598
-1557.89973,-82.51237,-26.92797,-41.161373,-107.50359,-25.610254,-80.19828,-45.973804,-44.92775,-100.20025,-140.65973
-1544.374855,-34.24512,-38.1354,-120.05504,-44.461666,-66.49341,-70.52169,-1.8893332,-75.04127,-52.177284,-88.31951
-1560.094221,-67.23305,-17.115316,-31.373112,-97.01944,-11.684746,-74.6728,-43.359913,-36.24612,-96.928894,-131.61412
-1553.749683,-78.549446,-23.43213,-27.345272,-111.39481,-25.11896,-70.70539,-29.89448,-40.897255,-96.62162,-140.48529
-1560.486796,-84.7872,-27.911951,-32.588722,-115.098434,-29.872568,-76.6016,-34.096622,-45.205803,-101.066505,-144.58107
-1548.019919,-33.208515,-36.299484,-117.500046,-41.268627,-63.68595,-72.490486,-4.537865,-75.07573,-51.645824,-83.51635
-1552.619867,-68.781815,-17.490267,-31.640137,-99.139595,-15.82859,-77.32603,-43.84951,-35.963955,-99.07193,-132.11128
-1540.855675,-82.60428,-26.994268,-34.40844,-111.648445,-28.741285,-76.60933,-37.071774,-44.56109,-100.08064,-141.11261
-1543.426848,-75.753395,-22.97607,-31.068262,-106.03549,-22.800188,-74.781555,-38.06825,-40.972214,-99.474434,-137.58455
-1552.317404,-69.88064,-17.645216,-34.60224,-98.83495,-17.161543,-77.38314,-45.960567,-37.04624,-98.54327,-133.3093
-1531.406586,-73.08128,-21.603235,-31.519617,-103.632164,-20.892315,-76.36453,-41.520485,-38.85087,-99.14786,-134.10266
-1549.040221,-36.750168,-36.741516,-117.12697,-40.289963,-62.367382,-77.90373,-6.5996385,-78.17227,-52.98914,-78.127304
-1559.009003,-67.79209,-17.75708,-36.801533,-95.06736,-12.428034,-81.711845,-53.78474,-36.31481,-99.92227,-130.12376
-1558.149577,-34.714252,-35.53026,-117.41262,-40.473267,-63.13488,-74.945435,-6.4834914,-77.203636,-52.185184,-80.039825
-1552.326017,-85.90182,-29.824495,-36.689114,-113.05596,-31.50336,-81.43542,-42.06279,-45.68085,-103.31824,-142.6221
-1555.544748,-32.07924,-34.601276,-112.28354,-35.096626,-63.568813,-76.33725,-10.991611,-79.893875,-53.14741,-76.730865
-1556.129159,-33.069534,-34.68234,-114.087326,-37.477955,-66.02671,-76.23722,-12.882048,-81.39239,-55.10876,-76.451904
-1540.128312,-29.479576,-33.361603,-110.75345,-33.442352,-61.70983,-72.89476,-6.0939293,-75.25624,-50.335567,-78.455414
-1554.703505,-82.8434,-27.71913,-36.480427,-112.402054,-28.8867,-77.333374,-39.7501,-45.86828,-101.34487,-142.58209
-1560.036654,-11.787088,-14.667598,-71.18289,2.513108,-52.24001,-87.542465,-47.788063,-98.5097,-58.058945,-28.33815
-1559.496668,-121.769936,-46.40733,-82.59671,-118.66596,-64.96914,-123.75464,-74.80312,-69.62188,-113.342255,-172.64415
